ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop
14298	62	165	3	29881	Baerlon	5073	Rand Al Thor	744	RdT	202
14381	145	165	6	32788	B	20215	Teddy	415	Teddy	198
14400	164	165	6	32798	Berchta	1283	Marfoux59	792	VBMS	103
14618	-19	164	7	32344	stonks00 Köyü	40633	stonks00	0		9
14621	-16	164	3	32338	NewFound Village	40623	Joel Maliyil	0		8
14627	-10	164	3	32123	Texas Oplotnica	40055	obarskij	0		196
14630	-7	164	3	32114	mist Dorp	40037	bokje	0		132
14641	4	164	6	32182	Viuhuland	40244	Viuhu	685	[IL] X	218
14649	12	164	6	32179	Vogtor	40106	Vogtor	0		58
14652	15	164	6	32367	01 uranio	40686	elpelle23	0		34
14719	82	164	6	27359	02 Candy Nights	4547	Blackmore	7	Zzz	208
14920	-118	163	3	32810	Selfie	20991	fit_insta_girl	685	[IL] X	38
14992	-46	163	1	30004	A	12119	FDAZ	0		213
15010	-28	163	1	32257	sasan	40421	sasan	0		88
15012	-26	163	3	32361	Деревня dorisa17	40672	dorisa17	0		10
15014	-24	163	6	32356	AtlantisLuan的村莊	40657	AtlantisLuan	0		19
15017	-21	163	1	32148	Dorf Dorf	40132	tru1	684	Кузены	229
15020	-18	163	3	32140	Albergas	40107	psilva	0		21
15033	-5	163	6	31851	Bałtyk	39438	Kaszub	0		204
15035	-3	163	3	31845	Aldeia do DaringErick	39426	DaringErick	0		13
15038	0	163	3	31910	Satul lui TnTcocolino	39527	TnTcocolino	0		8
15044	6	163	3	31897	Osada: flasik	39506	flasik	0		13
15056	18	163	3	32175	Деревня Mia	40225	Mia	0		10
15065	27	163	7	32369	Honyo`s village	40689	Honyo	0		13
15072	34	163	1	32522	01. Восьминожка	685	Восьминожка	16	Choco	139
15412	-27	162	3	32105	the kop	39994	segev334	463	LSD	181
15414	-25	162	3	32086	Кузен Кумыс	39943	Eats_me	684	Кузены	189
15416	-23	162	6	31949	صقصق`s village	39628	صقصق	0		8
15437	-2	162	6	31620	Lusville	38891	Lukino04	0		12
15442	3	162	5	31450	Natars 3|162	1	Natars	0		36
15447	8	162	1	31219	Új falu	2421	Aquila	213	M&M	80
15449	10	162	6	31673	Gnarnian valtakunta	39019	sakassi	0		115
15453	14	162	2	31914	Balsthal	39532	mabo93	0		36
15456	17	162	6	31908	Minivan378’s landsby	39526	Minivan378	0		95
15458	19	162	6	31896	Ragnar	39499	Seed	0		54
15461	22	162	3	31884	Trapper	39477	Trench	0		206
15469	30	162	3	32366	m.nouri`s village	40685	m.nouri	0		8
15521	82	162	2	31188	Бересклет	17193	GreenRun72	55	WWW	189
15640	-200	161	3	33153	V 001	4260	phiran	0		32
15803	-37	161	3	32334	pyziowo	40616	lokian	0		155
15805	-35	161	3	32331	Деревня zamira18	40610	zamira18	0		10
15809	-31	161	6	32112	הכפר של adix	40034	adix	0		12
15826	-14	161	3	33710	02	36992	Moma	176	[IL]	69
15830	-10	161	3	33779	B	37727	Galski	0		37
15831	-9	161	3	31144	A	37727	Galski	0		276
15833	-7	161	3	31366	Градът на MajaNared1	38223	MajaNared1	0		9
15836	-4	161	1	33426	Wine culture	36950	Pintas	463	LSD	48
15839	-1	161	6	33791	#matizga	30010	Kazikz	0		16
15847	7	161	1	31333	MINAHA’S D’TIRITH	38161	kedzera	284	VTL	202
15855	15	161	6	31498	Quenthel Köyü	38615	Quenthel	0		8
15860	20	161	6	30826	WORLD	909	HELL	28	DH	161
15865	25	161	5	31786	Natars 25|161	1	Natars	0		15
15869	29	161	1	32011	Hopa Hopa	39795	Hopa hopa	0		22
15876	36	161	3	32812	Vladutz12`s village	875	Vladutz12	0		12
15878	38	161	3	32392	Svíčková	40735	aldator	0		155
15889	49	161	2	26685	Барсучья нора	251	Феникс	110	www.NET	235
16211	-30	160	5	31841	Natars -30|160	1	Natars	0		25
16216	-25	160	6	31593	Sunset`s village	38815	Sunset	0		8
16224	-17	160	6	31345	Mr. Sài Gòn	38179	Mr. Sài Gòn	0		44
16231	-10	160	3	31079	Carnac	37574	choubi	582	El Mondo	227
16237	-4	160	3	31072	Grove Street	37548	JeisNexn	0		9
16259	18	160	1	31422	Dorf von Shergo	38354	Shergo	0		31
16265	24	160	2	31660	[001] Hauptdorf	38988	Tim92	0		181
16269	28	160	6	31649	Anc	38992	anc	0		103
16275	34	160	2	32168	قرية khawla	40180	al406205	0		21
16478	-164	159	1	33155	Làng mới	11506	Pngthien	84	TİM -I+	111
16599	-43	159	6	32355	Naselje - zer00	40658	zer00	0		29
16602	-40	159	3	32138	Саратов	40103	Razdoor	0		188
16618	-24	159	3	31348	Vesnice: Quercus	38186	Quercus	0		10
16622	-20	159	6	31083	Lobotomia I	37584	Nyhalies	0		40
16629	-13	159	3	31081	Nicci`s village	37576	Nicci	0		10
16634	-8	159	3	30869	Деревня Ольга18	36962	Ольга18	0		10
16637	-5	159	1	30866	Oktoberfest	36950	Pintas	463	LSD	234
16640	-2	159	3	30853	Village de jbouzar	36922	jbouzar	0		12
16648	6	159	2	33711	Новая деревня	321	Heresy	110	www.NET	50
16654	12	159	2	30918	celest`s village	37066	celest	0		11
16657	15	159	5	31125	Natars 15|159	1	Natars	0		19
16667	25	159	3	31255	Payitaht	37953	sinoplu	41	TİM +|+	180
16671	29	159	2	31445	00.THE BAD	38430	TheBad	41	TİM +|+	204
16680	38	159	6	29213	Лихо	1530	Лиходей	110	www.NET	102
16685	43	159	2	32509	Winterfell	39463	_Miki_the_Wolf	0		248
16731	89	159	6	32802	Beretta	21034	GunStar	125	Ералаш	130
16931	-112	158	1	31867	Rím	11047	Marcus Aurelius	11	CZ ATD	141
16969	-74	158	1	32908	02	21977	الشيخ كهفان	758	™A	91
16993	-50	158	6	33744	Csaba királyfi	34565	tom08	582	El Mondo	30
16994	-49	158	3	32319	قرية fuvopa	40579	fuvopa	0		8
17004	-39	158	1	31636	lin	38960	lin	0		23
17006	-37	158	3	31619	2.6B 1MDB	38883	notera	41	TİM +|+	184
17014	-29	158	6	31362	sportello 1	38218	Deniceman	776	MadMoon	132
17017	-26	158	3	31096	Viseu	37607	SkarWalker	0		49
17025	-18	158	3	30882	Лютеция	36990	Амвросий	0		30
17028	-15	158	3	30879	01	36992	Moma	176	[IL]	292
17032	-11	158	6	30680	SauerHansBrot	36502	Jürgen Pagel	0		10
17034	-9	158	6	30667	Villaggio di nicco	36488	nicco	0		12
17037	-6	158	3	30650	Villaggio di zioandre4ever93	36465	zioandre4ever93	0		15
17039	-4	158	3	30644	Деревня Монолит	36453	mr_Tio1	0		59
17043	0	158	7	30718	PONDOK CABE	36573	IKenzOnMobile	0		155
17052	9	158	2	30631	SofSofs Landsbys	36417	SofSof	0		14
17054	11	158	1	30627	Kopretina1	36414	Kopretina	0		230
17057	14	158	5	30870	Natars 14|158	1	Natars	0		36
17063	20	158	3	30760	Roroken`s village	36685	17roroken	463	LSD	172
17067	24	158	1	31160	DragonAge	37762	DragonAge	682	Defender	271
17069	26	158	3	31152	Ivory`s village	37738	Ivory	0		10
17073	30	158	3	31412	xisefo8749`s village	38349	xisefo8749	0		8
17076	33	158	3	31402	Valhalla	38313	Lessofy	0		135
17083	40	158	6	31881	Naselje - Neo231	39472	Neo231	0		8
17087	44	158	2	32167	grzywek	40179	grzywek360	0		159
17091	48	158	3	32365	قرية cadod	40681	cadod	0		8
17110	67	158	1	32242	P02	11706	Polka	41	TİM +|+	139
17321	-123	157	2	31979	2	18834	glosrob	685	[IL] X	76
17358	-86	157	3	29508	Neues Dorf	9594	Habakuk	219	WAR	364
17389	-55	157	1	32396	Ci sono	40739	Pakonolano	0		194
17397	-47	157	6	32153	Eisregen	40143	OnkiL	0		159
17399	-45	157	6	31869	identity110	39455	identity110	0		18
17401	-43	157	6	30571	00 Port Trunk	7529	Firewall	108	BRONX+	150
17414	-30	157	1	31098	Creeping Death	37612	Ramone	463	LSD	207
17417	-27	157	1	30890	Thunder Alina	36912	Thunder Alina	0		102
17421	-23	157	3	30878	Деревня Вор какашек	36960	Вор какашек	0		18
17432	-12	157	3	30383	Деревня Sasha228666	35876	Sasha228666	0		14
17434	-10	157	6	30375	Kairo	35867	Zunko	0		15
17436	-8	157	3	30367	SIMPLandia	35851	Zibboo	463	LSD	204
17439	-5	157	1	30296	Stech	35660	Stacchinho	0		164
17441	-3	157	3	30214	ligciems	35397	ligucis777	0		13
17447	3	157	6	30504	OSIRIDE	36088	scorpione	0		202
17452	8	157	3	30489	alamo`s village	36056	alamo	0		13
17460	16	157	2	30723	Marvel	36560	Sir derek	0		140
17467	23	157	6	30924	Memphis	37087	DonFatTony	0		145
17478	34	157	3	31383	Dorf von BullDocVI	38262	BullDocVI	0		15
17493	49	157	5	32144	Natars 49|157	1	Natars	0		20
17505	61	157	1	33824	BUCURESTI	32083	Evaroxana	714	HBreaker	5
17793	-52	156	3	32122	SorenaSkh`s village	40053	SorenaSkh	0		8
17799	-46	156	3	31810	Organicville	39342	Organicuse	0		24
17811	-34	156	6	31065	Terra Atlantis	37541	Stargate SG1	98	CZ-SK	173
17819	-26	156	7	30578	0.1 Eye of the tiger	36301	Drevorubac	303	GDL	218
17824	-21	156	3	30440	Buchenwald	35437	ivan1232	684	Кузены	113
17832	-13	156	3	30435	Baronka 1	35959	baron	700	ML	200
17834	-11	156	6	30191	Dorf von Afromade	35325	Afromade	0		8
17836	-9	156	6	30187	Rebel	35311	rebel	0		62
17839	-6	156	6	30184	Vesnice:Greve	35290	Tomasoo	0		221
17852	7	156	2	27431	02.Adatom	321	Heresy	110	www.NET	406
17858	13	156	3	30488	Деревня Sanstile	36058	Sanstile	0		10
17873	28	156	1	33695	Kampung baru	37762	DragonAge	682	Defender	39
17877	32	156	6	30935	Aldeia do Zaltarox94	37116	Zaltarox94	0		10
18206	-40	155	1	31097	Aldeia do agricultor1995	37611	agricultor1995	0		9
18208	-38	155	1	31093	Wonderland	37599	thewhiterabbit	0		139
18221	-25	155	3	30396	Dorf von Old Manni	35885	Old Manni	0		10
18226	-20	155	2	30166	Osada: Nejkon	35243	Nejkon	0		10
18243	-3	155	3	29927	Wolf s lair	34589	Ghost Wolf	582	El Mondo	77
18249	3	155	3	30008	Black Sunset	34775	Bona	0		96
18264	18	155	2	30224	darkhower`s village	35421	darkhower	0		8
18270	24	155	3	30466	Tweetakov	36009	Tweetak	0		47
18284	38	155	6	31123	Polis	37677	hehhee	0		141
18299	53	155	2	32102	Lord	39979	Lord91	0		82
18301	55	155	2	32068	01 kuzifix	39885	Kuzifix	714	HBreaker	175
18303	57	155	3	32197	Деревня igormal	40285	igormal	0		9
18331	85	155	1	32629	β	18191	Jul	125	Ералаш	140
18600	-47	154	6	31354	apollon56 Köyü	38204	apollon56	0		8
18611	-36	154	1	32701	15cc It s overprice	24971	Lancinant	0		234
18613	-34	154	2	30674	Osada: Zulusów	36499	damprz	303	GDL	189
18623	-24	154	3	30163	1	35228	Sometimes	84	TİM -I+	270
18634	-13	154	1	29939	1. Core	30813	Xesh	582	El Mondo	270
18639	-8	154	2	29696	Jumong	33962	Jumong	0		38
