ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop
455299	-70	-168	1	70596	02 Flag of Hate	1222	Kreator	89	Metal	120
455550	181	-168	3	70523	Dromund Kaas	1368	SieannaRiley	44	ALL 4 1	201
457756	-16	-171	1	70489	Adema 15	96	Eurypedes	44	ALL 4 1	90
458638	65	-172	2	70914	03-abdju	487	osiris	51	V-SE	188
459354	-20	-173	1	70205	001	66	Shazzam	0		215
459439	65	-173	2	70243	02-djedu	487	osiris	51	V-SE	410
461756	-21	-176	3	70653	carla	2028	danutflorinel	0		50
466050	268	-181	1	70649	002	1188	Hayate	51	V-SE	188
466852	269	-182	1	71330	003	1188	Hayate	51	V-SE	84
470726	138	-187	1	70395	02 Augustus	1478	moonrider	44	ALL 4 1	219
473129	138	-190	1	71301	03 Traianus	1478	moonrider	44	ALL 4 1	114
482644	41	-202	2	70662	00:00:02	240	GuNNer	44	ALL 4 1	210
484843	-163	-205	2	70661	009 kurama	2279	krokodil	30	GG	71
494015	198	-216	1	70438	Wuhan 2	472	Wuhan	51	V-SE	213
508814	-222	-235	1	71345	Rid	738	jaksha	0		51
513930	88	-241	3	70764	1.	2405	GDB	0		85
516465	220	-244	3	70407	11VLAN	492	VLAN	44	ALL 4 1	239
542704	26	-277	1	70498	01 Hoseh	2217	food	51	V-SE	270
579592	68	-323	1	70873	02	876	Luigi	103	Indo	55
593572	-370	-341	3	70669	DOGS of WAR	338	Dogs of War	0		84
598779	31	-347	1	70520	03 Hollow	807	Smalpox	44	ALL 4 1	236
