ID	x	y	Tribe	VID	Village	User_ID	Player	AID	Alliance	Pop	Pop_d-1	difference1	distance	links
348823	-13	-35	1	540	snowwa69`s village	338	snowwa69	0		43	43	0	128	https://latesummer1x.travian.com/karte.php?x=-13&y=-35
350424	-14	-37	1	805	D4nN1`s village	536	D4nN1	0		18	18	0	128	https://latesummer1x.travian.com/karte.php?x=-14&y=-37
352024	-16	-39	1	948	Waliuxas`s village	652	Waliuxas	0		8	8	0	128	https://latesummer1x.travian.com/karte.php?x=-16&y=-39
358427	-21	-47	1	1844	00	1285	tonerland	0		21	76	-55	128	https://latesummer1x.travian.com/karte.php?x=-21&y=-47
360829	-22	-50	1	2304	01	1684	fung	0		39	87	-48	128	https://latesummer1x.travian.com/karte.php?x=-22&y=-50
309639	52	14	2	2260	Mrs owl`s village	1603	Mrs owl	0		17	19	-2	129	https://latesummer1x.travian.com/karte.php?x=52&y=14
311235	46	12	3	1432	Tops`s village	952	Tops	0		12	12	0	129	https://latesummer1x.travian.com/karte.php?x=46&y=12
312033	43	11	2	1050	FRD1	717	franclus	0		19	20	-1	129	https://latesummer1x.travian.com/karte.php?x=43&y=11
312833	42	10	2	997	BÖRÜ	683	Timurhan	0		64	80	-16	129	https://latesummer1x.travian.com/karte.php?x=42&y=10
316827	31	5	1	75	Letsgo`s village	102	Letsgo	0		90	116	-26	129	https://latesummer1x.travian.com/karte.php?x=31&y=5
344821	-10	-30	3	137	Valhöll	70	therion	0		20	20	0	129	https://latesummer1x.travian.com/karte.php?x=-10&y=-30
346421	-12	-32	3	319	Rednicks`s village	234	Rednicks	0		60	66	-6	129	https://latesummer1x.travian.com/karte.php?x=-12&y=-32
350422	-16	-37	1	815	Dagdigdug	510	Dagdigdug	0		55	55	0	129	https://latesummer1x.travian.com/karte.php?x=-16&y=-37
352824	-17	-40	1	983	001	666	Myoxx	0		55	63	-8	129	https://latesummer1x.travian.com/karte.php?x=-17&y=-40
361628	-24	-51	1	2496	01. huangsang	1879	huangsang	0		29	87	-58	129	https://latesummer1x.travian.com/karte.php?x=-24&y=-51
308039	54	16	1	2457	001	1852	F L A M M A	0		23	38	-15	130	https://latesummer1x.travian.com/karte.php?x=54&y=16
309634	47	14	3	1579	trilogy`s village	1114	trilogy	0		37	37	0	130	https://latesummer1x.travian.com/karte.php?x=47&y=14
312031	41	11	2	876	Teater`s village	591	Teater	0		8	8	0	130	https://latesummer1x.travian.com/karte.php?x=41&y=11
348820	-16	-35	3	666	stop now	407	jayce85	0		87	101	-14	130	https://latesummer1x.travian.com/karte.php?x=-16&y=-35
351222	-17	-38	3	951	ViTooo	653	ViTooo	0		98	303	-205	130	https://latesummer1x.travian.com/karte.php?x=-17&y=-38
352022	-18	-39	3	1031	Salivandr`s village	711	Salivandr	0		8	8	0	130	https://latesummer1x.travian.com/karte.php?x=-18&y=-39
355224	-20	-43	1	1449	ajax	974	vesky	0		96	133	-37	130	https://latesummer1x.travian.com/karte.php?x=-20&y=-43
356024	-21	-44	3	1598	mmm123`s village	1098	mmm123	0		17	43	-26	130	https://latesummer1x.travian.com/karte.php?x=-21&y=-44
356824	-22	-45	3	1729	Cake	1240	?spike?	0		41	123	-82	130	https://latesummer1x.travian.com/karte.php?x=-22&y=-45
359226	-23	-48	3	2207	C4_Launge`s village	1541	C4_Launge	0		10	10	0	130	https://latesummer1x.travian.com/karte.php?x=-23&y=-48
360026	-24	-49	2	2392	Gepi`s village	1805	Gepi	0		9	9	0	130	https://latesummer1x.travian.com/karte.php?x=-24&y=-49
308035	50	16	1	1993	milko333	1383	milko333	0		13	13	0	131	https://latesummer1x.travian.com/karte.php?x=50&y=16
308834	48	15	1	1699	poru`s village	1207	poru	0		8	8	0	131	https://latesummer1x.travian.com/karte.php?x=48&y=15
310432	44	13	3	1231	Harry Kane	631	Harry Kane	0		9	9	0	131	https://latesummer1x.travian.com/karte.php?x=44&y=13
